date,user_id,event_type,product_sku,platform
2026-07-09,usr_078a29f9,add_to_cart,NIK-AIR-MAX,android
2026-07-09,usr_8001c959,add_to_cart,ADID-ULTRABOOST,android
2026-07-09,usr_8001c959,add_to_cart,PAT-NANO-M-BLK,android
2026-07-09,usr_8001c959,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_7c009c3e,purchase,ADID-ULTRABOOST,web
2026-07-09,usr_9d6a9915,add_to_cart,NIK-AIR-MAX,android
2026-07-09,usr_c96cb409,add_to_cart,SAL-XULTRA-4-10,ios
2026-07-09,usr_c96cb409,add_to_cart,ARC-ATOM-M-BLK,ios
2026-07-09,usr_be73ffa7,add_to_cart,ARC-ATOM-M-BLK,ios
2026-07-09,usr_be73ffa7,add_to_cart,SAL-XULTRA-4-10,ios
2026-07-09,usr_68606190,purchase,ADID-ULTRABOOST,ios
2026-07-09,usr_68606190,add_to_cart,NIK-AIR-MAX,ios
2026-07-09,usr_71588e49,product_view,SAL-XULTRA-4-10,web
2026-07-09,usr_71588e49,add_to_cart,PAT-NANO-M-BLK,web
2026-07-09,usr_71588e49,purchase,PAT-NANO-M-BLK,web
2026-07-09,usr_b9397538,add_to_cart,NIK-AIR-MAX,ios
2026-07-09,usr_b9397538,purchase,PAT-NANO-M-BLK,ios
2026-07-09,usr_91768746,product_view,NIK-AIR-MAX,android
2026-07-09,usr_91768746,purchase,SAL-XULTRA-4-10,android
2026-07-09,usr_d332e1f0,add_to_cart,ARC-ATOM-M-BLK,ios
2026-07-09,usr_d332e1f0,add_to_cart,ARC-ATOM-M-BLK,ios
2026-07-09,usr_d332e1f0,purchase,ARC-ATOM-M-BLK,ios
2026-07-09,usr_91768746,add_to_cart,PAT-NANO-M-BLK,android
2026-07-09,usr_91768746,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_91768746,product_view,SAL-XULTRA-4-10,android
2026-07-09,usr_91768746,purchase,ADID-ULTRABOOST,android
2026-07-09,usr_fc3211c0,product_view,ADID-ULTRABOOST,web
2026-07-09,usr_a59f3837,product_view,SAL-XULTRA-4-10,android
2026-07-09,usr_a59f3837,product_view,NIK-AIR-MAX,android
2026-07-09,usr_a59f3837,product_view,SAL-XULTRA-4-10,android
2026-07-09,usr_a59f3837,add_to_cart,PAT-NANO-M-BLK,android
2026-07-09,usr_a59f3837,product_view,SAL-XULTRA-4-10,android
2026-07-09,usr_a59f3837,add_to_cart,SAL-XULTRA-4-10,android
2026-07-09,usr_ad961c2b,product_view,PAT-NANO-M-BLK,android
2026-07-09,usr_ad961c2b,add_to_cart,PAT-NANO-M-BLK,android
2026-07-09,usr_ad961c2b,product_view,ADID-ULTRABOOST,android
2026-07-09,usr_ad961c2b,add_to_cart,NIK-AIR-MAX,android
2026-07-09,usr_ad961c2b,add_to_cart,ADID-ULTRABOOST,android
2026-07-09,usr_ad961c2b,purchase,ARC-ATOM-M-BLK,android
2026-07-09,usr_ad961c2b,product_view,ARC-ATOM-M-BLK,android
2026-07-09,usr_92869a54,add_to_cart,ADID-ULTRABOOST,ios
2026-07-09,usr_92869a54,product_view,ARC-ATOM-M-BLK,ios
2026-07-09,usr_92869a54,purchase,NIK-AIR-MAX,ios
2026-07-09,usr_ad7ce7fc,product_view,SAL-XULTRA-4-10,android
2026-07-09,usr_85b7cd8d,purchase,NIK-AIR-MAX,android
2026-07-09,usr_85b7cd8d,product_view,SAL-XULTRA-4-10,android
2026-07-09,usr_5f9a3814,add_to_cart,PAT-NANO-M-BLK,web
2026-07-09,usr_5f9a3814,purchase,NIK-AIR-MAX,web
2026-07-09,usr_5f9a3814,product_view,SAL-XULTRA-4-10,web
2026-07-09,usr_5f9a3814,purchase,SAL-XULTRA-4-10,web
2026-07-09,usr_5f9a3814,purchase,PAT-NANO-M-BLK,web
2026-07-09,usr_5f9a3814,add_to_cart,ARC-ATOM-M-BLK,web
2026-07-09,usr_1fea2276,purchase,NIK-AIR-MAX,web
2026-07-09,usr_1fea2276,product_view,NIK-AIR-MAX,web
2026-07-09,usr_1fea2276,purchase,ADID-ULTRABOOST,web
2026-07-09,usr_1fea2276,add_to_cart,SAL-XULTRA-4-10,web
2026-07-09,usr_9d6a9915,purchase,ARC-ATOM-M-BLK,android
2026-07-09,usr_8001c959,add_to_cart,PAT-NANO-M-BLK,ios
2026-07-09,usr_9edd962d,add_to_cart,ADID-ULTRABOOST,web
2026-07-09,usr_9edd962d,purchase,SAL-XULTRA-4-10,web
2026-07-09,usr_1942dbbd,purchase,PAT-NANO-M-BLK,web
2026-07-09,usr_c96cb409,purchase,SAL-XULTRA-4-10,ios
2026-07-09,usr_c96cb409,add_to_cart,ARC-ATOM-M-BLK,ios
2026-07-09,usr_c96cb409,purchase,ADID-ULTRABOOST,ios
2026-07-09,usr_ad7ce7fc,add_to_cart,SAL-XULTRA-4-10,android
2026-07-09,usr_92869a54,add_to_cart,PAT-NANO-M-BLK,android
2026-07-09,usr_92869a54,purchase,ADID-ULTRABOOST,android
2026-07-09,usr_92869a54,add_to_cart,ARC-ATOM-M-BLK,android
