date,user_id,event_type,product_sku,platform
2026-07-09,usr_2a9d4e34,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_2a9d4e34,add_to_cart,PAT-NANO-M-BLK,android
2026-07-09,usr_2a9d4e34,add_to_cart,PAT-NANO-M-BLK,android
2026-07-09,usr_2a9d4e34,purchase,ARC-ATOM-M-BLK,android
2026-07-09,usr_a6a94326,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_a6a94326,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_a6a94326,purchase,NIK-AIR-MAX,android
2026-07-09,usr_b6bc1ea9,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_b6bc1ea9,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_2879afa4,purchase,PAT-NANO-M-BLK,web
2026-07-09,usr_2879afa4,product_view,NIK-AIR-MAX,web
2026-07-09,usr_2879afa4,purchase,PAT-NANO-M-BLK,web
2026-07-09,usr_2879afa4,purchase,ARC-ATOM-M-BLK,web
2026-07-09,usr_1a4df5c2,purchase,ARC-ATOM-M-BLK,ios
2026-07-09,usr_1a4df5c2,add_to_cart,ADID-ULTRABOOST,ios
2026-07-09,usr_c331da92,purchase,SAL-XULTRA-4-10,android
2026-07-09,usr_2e21d807,purchase,SAL-XULTRA-4-10,web
2026-07-09,usr_f1292298,product_view,ADID-ULTRABOOST,ios
2026-07-09,usr_f1292298,product_view,PAT-NANO-M-BLK,ios
2026-07-09,usr_c331da92,product_view,PAT-NANO-M-BLK,android
2026-07-09,usr_c331da92,product_view,ADID-ULTRABOOST,android
2026-07-09,usr_63ab305c,add_to_cart,ADID-ULTRABOOST,ios
2026-07-09,usr_63ab305c,product_view,ADID-ULTRABOOST,ios
2026-07-09,usr_63ab305c,product_view,ADID-ULTRABOOST,ios
2026-07-09,usr_c55245d2,product_view,SAL-XULTRA-4-10,ios
2026-07-09,usr_d720f014,add_to_cart,NIK-AIR-MAX,web
2026-07-09,usr_d720f014,purchase,ADID-ULTRABOOST,web
2026-07-09,usr_d720f014,purchase,SAL-XULTRA-4-10,web
2026-07-09,usr_c331da92,add_to_cart,NIK-AIR-MAX,ios
2026-07-09,usr_c331da92,purchase,ARC-ATOM-M-BLK,ios
2026-07-09,usr_c331da92,purchase,SAL-XULTRA-4-10,ios
2026-07-09,usr_c331da92,product_view,ADID-ULTRABOOST,ios
2026-07-09,usr_6b038e6e,purchase,SAL-XULTRA-4-10,web
2026-07-09,usr_6b038e6e,add_to_cart,ADID-ULTRABOOST,web
2026-07-09,usr_1f530d08,add_to_cart,ARC-ATOM-M-BLK,web
2026-07-09,usr_b1c2db84,product_view,NIK-AIR-MAX,android
2026-07-09,usr_8782ae38,product_view,PAT-NANO-M-BLK,android
2026-07-09,usr_c20af1d4,add_to_cart,PAT-NANO-M-BLK,web
2026-07-09,usr_8524a547,add_to_cart,ARC-ATOM-M-BLK,android
2026-07-09,usr_344ed78d,purchase,ARC-ATOM-M-BLK,ios
2026-07-09,usr_c20af1d4,product_view,ARC-ATOM-M-BLK,ios
2026-07-09,usr_c20af1d4,purchase,PAT-NANO-M-BLK,ios
2026-07-09,usr_c20af1d4,add_to_cart,ARC-ATOM-M-BLK,ios
2026-07-09,usr_c20af1d4,add_to_cart,ARC-ATOM-M-BLK,ios
2026-07-09,usr_b6bc1ea9,add_to_cart,SAL-XULTRA-4-10,android
2026-07-09,usr_b6bc1ea9,purchase,PAT-NANO-M-BLK,android
2026-07-09,usr_b6bc1ea9,purchase,ADID-ULTRABOOST,android
2026-07-09,usr_b6bc1ea9,add_to_cart,NIK-AIR-MAX,android
2026-07-09,usr_b6bc1ea9,product_view,NIK-AIR-MAX,android
2026-07-09,usr_b6bc1ea9,product_view,PAT-NANO-M-BLK,android
2026-07-09,usr_b6bc1ea9,product_view,ADID-ULTRABOOST,android
